product_id,product_name,category,unit_price,active
PROD0001,Product 1,software,1305.43,false
PROD0002,Product 2,components,262.96,true
PROD0003,Product 3,components,1621.18,true
PROD0004,Product 4,home_office,1713.56,false
PROD0005,Product 5,electronics,846.02,true
PROD0006,Product 6,software,818.24,true
PROD0007,Product 7,home_office,1643.05,true
PROD0008,Product 8,accessories,381.62,true
PROD0009,Product 9,electronics,2015.13,false
PROD0010,Product 10,software,804.41,true
PROD0011,Product 11,software,71.43,false
PROD0012,Product 12,home_office,654.49,false
PROD0013,Product 13,networking,975.58,true
PROD0014,Product 14,components,1772.51,true
PROD0015,Product 15,home_office,1818.56,true
PROD0016,Product 16,software,1340.31,false
PROD0017,Product 17,software,901.37,true
PROD0018,Product 18,peripherals,431.61,true
PROD0019,Product 19,home_office,251.23,true
PROD0020,Product 20,software,652.56,true
PROD0021,Product 21,software,2249.78,true
PROD0022,Product 22,accessories,893.37,true
PROD0023,Product 23,networking,1971.92,true
PROD0024,Product 24,home_office,657.31,true
PROD0025,Product 25,networking,2129.23,false
PROD0026,Product 26,electronics,2167.05,true
PROD0027,Product 27,networking,2224.45,true
PROD0028,Product 28,peripherals,1704.3,true
PROD0029,Product 29,networking,142.72,true
PROD0030,Product 30,accessories,2480.93,true
PROD0031,Product 31,networking,2468.08,false
PROD0032,Product 32,accessories,796.43,true
PROD0033,Product 33,peripherals,209.38,true
PROD0034,Product 34,software,2466.71,true
PROD0035,Product 35,software,152.57,false
PROD0036,Product 36,home_office,529.78,true
PROD0037,Product 37,components,1913.09,false
PROD0038,Product 38,peripherals,1910.81,true
PROD0039,Product 39,accessories,1539.28,false
PROD0040,Product 40,networking,1077.13,false
PROD0041,Product 41,networking,19.64,true
PROD0042,Product 42,software,937.77,true
PROD0043,Product 43,home_office,1894.06,true
PROD0044,Product 44,electronics,1694.46,true
PROD0045,Product 45,accessories,1736.26,true
PROD0046,Product 46,home_office,329.3,false
PROD0047,Product 47,components,1474.97,true
PROD0048,Product 48,electronics,2061.02,true
PROD0049,Product 49,home_office,1144.17,true
PROD0050,Product 50,networking,2220.83,true
PROD0051,Product 51,home_office,2490.38,false
PROD0052,Product 52,home_office,1877.29,true
PROD0053,Product 53,peripherals,1013.25,true
PROD0054,Product 54,accessories,1820.1,true
PROD0055,Product 55,accessories,1837.32,true
PROD0056,Product 56,electronics,921.55,true
PROD0057,Product 57,networking,2192.35,true
PROD0058,Product 58,peripherals,1340.56,true
PROD0059,Product 59,components,2486.74,true
PROD0060,Product 60,software,2091.61,true
PROD0061,Product 61,software,296.55,false
PROD0062,Product 62,networking,316.0,true
PROD0063,Product 63,networking,1757.06,true
PROD0064,Product 64,software,1716.86,true
PROD0065,Product 65,home_office,1056.81,true
PROD0066,Product 66,software,1304.61,true
PROD0067,Product 67,networking,2077.99,true
PROD0068,Product 68,components,1799.17,true
PROD0069,Product 69,home_office,292.12,true
PROD0070,Product 70,networking,503.03,true
PROD0071,Product 71,peripherals,663.38,true
PROD0072,Product 72,home_office,1760.96,true
PROD0073,Product 73,accessories,106.2,false
PROD0074,Product 74,accessories,1723.0,false
PROD0075,Product 75,home_office,592.39,true
PROD0076,Product 76,software,229.8,true
PROD0077,Product 77,peripherals,1438.79,false
PROD0078,Product 78,accessories,2374.02,true
PROD0079,Product 79,software,1811.15,true
PROD0080,Product 80,software,584.05,true
PROD0081,Product 81,home_office,1164.98,true
PROD0082,Product 82,peripherals,443.36,true
PROD0083,Product 83,peripherals,732.09,true
PROD0084,Product 84,networking,1848.44,true
PROD0085,Product 85,peripherals,1897.44,true
PROD0086,Product 86,electronics,2131.18,true
PROD0087,Product 87,home_office,898.96,false
PROD0088,Product 88,components,676.63,true
PROD0089,Product 89,home_office,2038.89,true
PROD0090,Product 90,electronics,1006.74,false
PROD0091,Product 91,home_office,2090.59,false
PROD0092,Product 92,peripherals,1058.98,true
PROD0093,Product 93,electronics,338.22,true
PROD0094,Product 94,peripherals,405.21,false
PROD0095,Product 95,components,1210.83,false
PROD0096,Product 96,accessories,1531.42,true
PROD0097,Product 97,components,79.81,true
PROD0098,Product 98,networking,2301.63,true
PROD0099,Product 99,networking,1106.19,true
PROD0100,Product 100,home_office,1640.19,true
PROD0101,Product 101,software,2171.88,true
PROD0102,Product 102,software,2183.87,true
PROD0103,Product 103,networking,1656.99,true
PROD0104,Product 104,networking,869.61,false
PROD0105,Product 105,accessories,2098.87,true
PROD0106,Product 106,electronics,1611.35,true
PROD0107,Product 107,components,2123.32,false
PROD0108,Product 108,peripherals,420.19,false
PROD0109,Product 109,home_office,608.3,true
PROD0110,Product 110,electronics,1271.27,false
PROD0111,Product 111,networking,2044.22,true
PROD0112,Product 112,networking,1114.92,false
PROD0113,Product 113,electronics,2142.62,false
PROD0114,Product 114,home_office,303.82,false
PROD0115,Product 115,software,1636.21,true
PROD0116,Product 116,networking,1035.55,true
PROD0117,Product 117,peripherals,234.51,true
PROD0118,Product 118,components,1409.33,false
PROD0119,Product 119,home_office,913.45,true
PROD0120,Product 120,peripherals,563.51,false
PROD0121,Product 121,home_office,1403.9,false
PROD0122,Product 122,software,1645.66,false
PROD0123,Product 123,electronics,250.81,true
PROD0124,Product 124,electronics,858.66,true
PROD0125,Product 125,components,1308.79,true
PROD0126,Product 126,electronics,2243.02,false
PROD0127,Product 127,accessories,2056.02,false
PROD0128,Product 128,electronics,641.69,true
PROD0129,Product 129,accessories,308.9,false
PROD0130,Product 130,accessories,1146.96,true
PROD0131,Product 131,software,850.13,false
PROD0132,Product 132,electronics,2317.15,true
PROD0133,Product 133,peripherals,2230.25,false
PROD0134,Product 134,software,1476.58,true
PROD0135,Product 135,networking,18.81,true
PROD0136,Product 136,components,2338.79,false
PROD0137,Product 137,components,1954.46,true
PROD0138,Product 138,software,1449.76,true
PROD0139,Product 139,electronics,973.41,true
PROD0140,Product 140,components,2204.43,false
PROD0141,Product 141,components,2290.45,true
PROD0142,Product 142,home_office,999.49,true
PROD0143,Product 143,home_office,1136.49,true
PROD0144,Product 144,accessories,1036.56,true
PROD0145,Product 145,peripherals,1756.12,true
PROD0146,Product 146,software,1844.15,true
PROD0147,Product 147,accessories,530.6,true
PROD0148,Product 148,software,868.47,true
PROD0149,Product 149,software,1628.02,true
PROD0150,Product 150,components,1359.89,true
PROD0151,Product 151,software,295.59,true
PROD0152,Product 152,components,1205.08,false
PROD0153,Product 153,software,1871.69,true
PROD0154,Product 154,peripherals,1060.59,true
PROD0155,Product 155,components,273.32,false
PROD0156,Product 156,accessories,140.24,true
PROD0157,Product 157,accessories,673.31,true
PROD0158,Product 158,home_office,1711.01,true
PROD0159,Product 159,peripherals,162.59,true
PROD0160,Product 160,accessories,1885.96,true
PROD0161,Product 161,home_office,2036.55,true
PROD0162,Product 162,components,2171.14,true
PROD0163,Product 163,software,1620.62,false
PROD0164,Product 164,accessories,1281.22,true
PROD0165,Product 165,software,1663.92,false
PROD0166,Product 166,networking,1046.08,true
PROD0167,Product 167,components,142.08,true
PROD0168,Product 168,accessories,1554.44,false
PROD0169,Product 169,peripherals,570.07,true
PROD0170,Product 170,peripherals,1474.26,true
PROD0171,Product 171,peripherals,1814.49,true
PROD0172,Product 172,home_office,1126.45,true
PROD0173,Product 173,accessories,2406.49,true
PROD0174,Product 174,networking,109.26,true
PROD0175,Product 175,components,666.49,true
PROD0176,Product 176,components,2116.27,true
